poseodom.x poseodom.y markerPose1.x markerPose1.y markerPose2.x markerPose2.y markerPose3.x markerPose3.y markerPose4.x markerPose4.y PoseAver.x PoseAver.y
2.28655 1.02245 2.2316 1.32688 3.56849 -0.57269 1.71895 1.38085 0 0 2.28655 1.02245
2.02805 1.09141 2.18658 1.23325 0.605845 2.46876 3.16281 1.17214 0 0 2.02805 1.09141
1.6795 1.88061 2.23541 1.18777 0.390833 2.45733 1.57017 1.15818 0 0 1.6795 1.88061
1.97615 1.25668 2.37237 1.60784 2.42353 0.984159 0.353266 1.21895 0 0 1.97615 1.25668
2.05687 1.52061 2.06564 1.09978 2.52916 0.560401 1.80189 1.4484 0 0 2.05687 1.52061
1.90969 1.77322 2.31899 2.17081 0.721339 2.51814 1.30811 1.37273 0 0 1.90969 1.77322
2.39468 1.19242 2.2834 1.44903 2.60973 1.16748 3.03044 1.07084 0 0 2.39468 1.19242
2.40329 1.79179 2.40037 1.75869 1.39836 2.06255 3.41019 0.721975 0 0 2.40329 1.79179
2.28677 1.43138 2.439 1.60116 2.2566 0.894361 1.98111 1.53314 0 0 2.28677 1.43138
1.95517 1.07681 1.69959 0.94763 1.12633 2.10068 2.93361 0.654823 0 0 1.95517 1.07681
2.19879 0.704066 2.11467 1.12069 3.16779 -0.546254 2.4762 1.53513 0 0 2.19879 0.704066
2.47522 1.46204 2.32015 1.41504 2.18707 1.46681 3.21754 0.836916 0 0 2.47522 1.46204
2.21533 1.10315 2.1208 1.17202 2.77184 0.375741 2.16703 1.29479 0 0 2.21533 1.10315
2.16439 1.62731 2.18119 1.20114 2.64944 0.981428 1.9575 1.36428 0 0 2.16439 1.62731
2.16933 1.52896 2.41058 1.69242 2.29338 0.976709 1.40692 1.43345 0 0 2.16933 1.52896
2.27439 1.94213 2.45983 2.15751 1.4584 2.49238 2.47068 1.33498 0 0 2.27439 1.94213
2.6593 1.54605 2.38797 1.69197 2.22678 1.66412 4.29439 -0.593647 0 0 2.6593 1.54605
2.08228 1.03212 1.90503 0.94773 2.13713 1.44926 2.73632 1.10863 0 0 2.08228 1.03212
1.94053 1.19096 1.97169 0.989118 1.86415 1.37652 1.39001 1.60569 0 0 1.94053 1.19096
1.9641 0.836049 1.78671 0.98829 1.64699 1.80524 3.14869 0.537842 0 0 1.9641 0.836049
